,Repository,Category,Subcat,Stars,Forks,Description,URL,License,Language,Top Contributors,Contributors,Created,Updated,Last Commit,Downloads,Topics,Open Issues,Watchers
16,HospitalRun/hospitalrun,Archived / Deprecated,EHR,970,358,Monorepo that holds all of HospitalRun's v2 projects.,https://github.com/HospitalRun/hospitalrun,MIT License,JavaScript,"matteovivona, dependabot-preview[bot], fox1t",6,2019-08-06,2025-10-01,2021-02-05,0,"ehr, global-health, hospitalrun, medical, medical-informatics",34,51
17,google/fhir,Interoperability,FHIR,898,200,FHIR Protocol Buffers,https://github.com/google/fhir,Apache License 2.0,C++,"nickgeorge, aaronnash, sundberg",38,2018-01-10,2025-09-30,2025-09-25,0,"fhir, healthcare, hl7",32,58
18,FirelyTeam/firely-net-sdk,Interoperability,Client SDKs,895,354,The official Firely .NET SDK for HL7 FHIR,https://github.com/FirelyTeam/firely-net-sdk,Other,C#,"marcovisserFurore, mmsmits, wmrutten",49,2013-10-27,2025-10-01,2025-10-01,0,"dotnet, dotnet-core, fhir, fhir-client, fhir-parser",75,79
19,ubicomplab/rPPG-Toolbox,Model repo,,778,201,rPPG-Toolbox: Deep Remote PPG Toolbox (NeurIPS 2023),https://github.com/ubicomplab/rPPG-Toolbox,Other,Python,"Xiaoyu-SZ, xliucs, yahskapar",19,2021-07-08,2025-10-02,2025-09-15,0,"camera, cardiova, computer-vision, deep-learning, health",,
20,google/simhospital,Archived / Deprecated,Synthetic Data,713,86,,https://github.com/google/simhospital,Apache License 2.0,Go,"carmrui, sonjoonho, jordan83",6,2020-05-05,2025-09-18,2023-08-09,0,"fhir, golang, healthcare, hl7, hl7v2",13,20
21,smart-on-fhir/client-py,Interoperability,Client SDKs,661,222,Python SMART on FHIR client,https://github.com/smart-on-fhir/client-py,Other,Python,"p2, mikix, ducu",23,2014-08-27,2025-09-29,2025-08-01,0,"fhir, fhir-client, fhir-parser, smart-on-fhir",23,40
22,HL7/fhir,Specification / Docs,,652,193,Official source for the HL7 FHIR Specification,https://github.com/HL7/fhir,Other,HTML,"grahamegrieve, riksmithies, jdlnolen",88,2014-04-10,2025-10-02,2025-10-02,0,fhir,26,65
23,metriport/metriport,Interoperability,Gateways,634,71,Metriport is an open-source universal API for healthcare data.,https://github.com/metriport/metriport,Other,JavaScript,"leite08, RamilGaripov, Orta21",21,2022-12-21,2025-10-03,2025-10-03,0,"api, fhir, healthcare, hipaa, open-source",178,8
24,ncbi-nlp/BioSentVec,Model repo,,601,100,BioWordVec & BioSentVec: pre-trained embeddings for biomedical words and sentences,https://github.com/ncbi-nlp/BioSentVec,Other,Jupyter Notebook,"qingyu-qc, qingyu-chen, kaushikacharya",4,2018-09-19,2025-09-28,2022-01-12,0,"bionlp, fasttext, mimic-iii, natural-language-processing, pubmed",,
25,ncbi-nlp/bluebert,Model repo,,580,81,"BlueBERT, pre-trained on PubMed abstracts and clinical notes (MIMIC-III). ",https://github.com/ncbi-nlp/bluebert,Other,Python,"yfpeng, dependabot[bot], cskyan",3,2019-06-06,2025-09-25,2022-04-11,39,"bert, bert-model, language-model, mimic-iii, natural-language-processing",,
26,pliang279/MultiBench,Model repo,,577,87,[NeurIPS 2021] Multiscale Benchmarks for Multimodal Representation Learning,https://github.com/pliang279/MultiBench,MIT License,HTML,"sfanxiang, lvyiwei1, pliang279",9,2021-03-05,2025-09-29,2024-01-27,0,"computer-vision, deep-learning, healthcare, machine-learning, multimodal-learning",,
27,microsoft/InnerEye-DeepLearning,Archived / Deprecated,,576,147,Medical Imaging Deep Learning library to train and deploy 3D segmentation models on Azure Machine Learning,https://github.com/microsoft/InnerEye-DeepLearning,MIT License,Python,"ant0nsc, Shruthi42, peterhessey",27,2020-04-29,2025-09-11,2024-03-21,190,"azure, deep-learning, healthcare, medical-imaging",,
28,souvikmajumder26/Multi-Agent-Medical-Assistant,Application,Chatbots,572,142,"⚕️GenAI powered multi-agentic medical diagnostics and healthcare research assistance chatbot. 🏥 Designed for healthcare professionals, researchers and patients.",https://github.com/souvikmajumder26/Multi-Agent-Medical-Assistant,Apache License 2.0,Python,souvikmajumder26,1,2025-03-10,2025-10-02,2025-05-03,0,"agent, agentic-ai, agents, chatbot, computer-vision",0,12
29,re-search/DocProduct,Model repo,,571,157,Medical Q&A with Deep Language Models,https://github.com/re-search/DocProduct,MIT License,Jupyter Notebook,"Santosh-Gupta, JayYip, ash3n",5,2019-05-06,2025-05-31,2021-05-29,0,"artificial-intelligence, bert, deep-learning, gpt-2, health",,
30,google/android-fhir,Interoperability,Client SDKs,559,314,"The Android FHIR SDK is a set of Kotlin libraries for building offline-capable, mobile-first healthc...",https://github.com/google/android-fhir,Apache License 2.0,Kotlin,"jingtang10, joiskash, santosh-pingle",78,2020-03-17,2025-10-03,2025-09-23,0,"android, android-architecture-components, android-development, android-fhir-sdk, android-library",363,35
31,FudanDISC/DISC-MedLLM,Model repo,,550,53,"Repository of DISC-MedLLM, it is a comprehensive solution that leverages Large Language Models (LLMs) to provide accurate and truthful medical response in end-to-end conversational healthcare services...",https://github.com/FudanDISC/DISC-MedLLM,Apache License 2.0,Python,"F1mc, lemuria-wchen, eltociear",3,2023-08-27,2025-09-23,2023-10-28,0,,15,4
32,informatici/openhospital,Infrastructure,EHR,495,120,OH - Open Hospital is a free and open-source Electronic Health Record (EHR) software application. Th...,https://github.com/informatici/openhospital,GNU General Public License v3.0,Makefile,"mwithi, mizzioisf, pviotti",9,2019-07-04,2025-09-22,2025-06-25,36145,"hacktoberfest, healthcare, openhospital",2,30
33,microsoft/dicom-server,Infrastructure,Servers & Platforms,484,185,OSS Implementation of DICOMweb standard,https://github.com/microsoft/dicom-server,MIT License,C#,"dependabot[bot], renovate[bot], wsugarman",44,2019-05-16,2025-09-27,2024-12-18,0,"azure, dicom, dicomweb, fhir, healthcare",14,39
34,nazrulworld/fhir.resources,Interoperability,FHIR,476,118,FHIR Resources https://www.hl7.org/fhir/resourcelist.html,https://github.com/nazrulworld/fhir.resources,Other,Python,"nazrulworld, Tshimanga, iatechicken",12,2019-01-11,2025-10-02,2025-09-16,0,"fhir, fhirbase, fhirpath, healthcare, healthcare-application",52,16
35,microsoft/FHIR-Converter,Interoperability,Converters,473,198,Conversion utility to translate legacy data formats into FHIR,https://github.com/microsoft/FHIR-Converter,MIT License,Liquid,"sowu880, CaitlinV39, ShaunDonn2",40,2019-08-09,2025-09-22,2025-05-27,3700,"converter, fhir, fhir-converter, hl7v2",41,48
36,isaacmg/healthcare_ml,Lists,,472,124,A curated list of ML|NLP resources for healthcare.,https://github.com/isaacmg/healthcare_ml,Unknown,,"isaacmg, nahidalam, dbabjaxy",5,2017-11-23,2025-09-20,2023-03-26,0,"healthcare, machine-learning, paper",,
37,hapifhir/hapi-fhir-jpaserver-starter,Tutorials,,465,1231,,https://github.com/hapifhir/hapi-fhir-jpaserver-starter,Apache License 2.0,Java,"jamesagnew, dotasek, jkiddo",78,2018-07-26,2025-10-03,2025-10-02,27886,,69,33
38,vanderschaarlab/mlforhealthlabpub,Lists,,459,183,Machine Learning and Artificial Intelligence for Medicine.,https://github.com/vanderschaarlab/mlforhealthlabpub,Other,Python,"DrShushen, bcebere, robsdavis",3,2020-10-22,2025-09-27,2023-02-27,0,"deep-learning, healthcare, machine-learning",,
39,FHIR/fhir.js,Archived / Deprecated,Client SDKs,435,142,JavaScript client for FHIR,https://github.com/FHIR/fhir.js,Unknown,JavaScript,"niquola, jmandel, maksym",24,2014-08-27,2025-09-26,2023-06-06,0,,69,49
40,hurcy/awesome-ehr-deeplearning,Lists,,424,90,"Curated list of awesome papers for electronic health records(EHR) mining, machine learning, and deep...",https://github.com/hurcy/awesome-ehr-deeplearning,Creative Commons Zero v1.0 Universal,,"hurcy, leej35, wooheaven",3,2017-09-07,2025-07-18,2021-07-07,0,"deep-learning, ehr, health-informatics, machine-learning, paper",1,31
41,earthians/marley,Infrastructure,EHR,423,351,"Open Source, Enterprise and Modern Health Information System",https://github.com/earthians/marley,GNU General Public License v3.0,Python,"ruchamahabal, akurungadam, Sajinsr",78,2021-08-24,2025-10-01,2025-09-26,0,"ehr, emr, erp, erpnext, health",56,37
42,839128/bus,Interoperability,Gateways,418,34,Bus (应用/服务总线) 是一个基础框架、服务套件，它基于Java17+ 编写，参考、借鉴了大量已有框架、组件的设计，可以作为后端服务的开发基础中间件。代码简洁，架构清晰，非常适合学习使用。,https://github.com/818000/bus,MIT License,Java,818000,1,2024-04-19,2025-09-30,2025-09-30,0,"bus, cache, crypto, dubbo, gateway",0,15
43,opensource-emr/hospital-management-emr,Infrastructure,EHR,410,262,"A complete open source for electronic healthcare record management in Hospitals, Clinics and Pharmac...",https://github.com/opensource-emr/hospital-management-emr,MIT License,JavaScript,"opensource-emr, nageshbb, MenkaChaugule",8,2019-02-27,2025-10-01,2024-09-02,3564,"angular, asp-net, asp-net-core, asp-net-mvc, aspnet-core",18,28
44,bluehalo/node-fhir-server-core,Infrastructure,FHIR,408,126,"An Open Source secure REST implementation for the HL7 FHIR Specification. For API documentation, ple...",https://github.com/bluehalo/node-fhir-server-core,MIT License,JavaScript,"jonterrylee, zeevo, imdrt",29,2018-01-05,2025-09-06,2025-08-29,0,"fhir-server, fhir-specification, healthcare",32,38
45,CogStack/OpenGPT,Model Development,Modelling & Training,360,44,A framework for creating grounded instruction based datasets and training conversational domain expert Large Language Models (LLMs).,https://github.com/CogStack/OpenGPT,Apache License 2.0,Jupyter Notebook,"w-is-h, LinglongQian",2,2023-05-09,2025-08-20,2023-05-27,0,"chatgpt, gpt-4, health, healthcare, huggingface",5,10
46,MIT-LCP/eicu-code,Educational,,357,231,Code and website related to the eICU Collaborative Research Database,https://github.com/MIT-LCP/eicu-code,MIT License,Jupyter Notebook,"tompollard, alistairewj, obadawi",15,2015-10-15,2025-09-06,2024-12-19,0,"database, ehr, eicu-crd, healthcare, mimic",112,39
47,LinuxForHealth/FHIR,Infrastructure,FHIR,353,160,The LinuxForHealth FHIR® Server and related projects,https://github.com/LinuxForHealth/FHIR,Apache License 2.0,Java,"lmsurpre, prb112, JohnTimm",41,2019-08-14,2025-09-06,2023-05-17,12089,"db2, fhir, hacktoberfest, jax-rs, jdbc",371,22
48,fhirbase/fhirbase,Archived / Deprecated,,328,87,Your persistence layer for FHIR data,https://github.com/fhirbase/fhirbase,Other,Go,"mlapshin, niquola, ruscoder",8,2018-07-30,2025-09-30,2022-02-06,22740,"cli, fhir, golang-application, healthcare-application, postgresql",26,19
49,ehrbase/ehrbase,Infrastructure,EHR,324,123,An open source openEHR server,https://github.com/ehrbase/ehrbase,Apache License 2.0,Java,"wlad, chevalleyc, stefanspiska",36,2019-10-08,2025-10-03,2025-10-03,0,"cdr, clinical, clinical-data, ehr, openehr",75,24
50,johnpaulett/python-hl7,Interoperability,HL7v2,309,86,A simple library for parsing messages of Health Level 7 (HL7) version 2.x into Python objects.,https://github.com/johnpaulett/python-hl7,Other,Python,"johnpaulett, rectalogic, joseph-wortmann",10,2011-05-27,2025-09-30,2025-06-08,0,,13,28
51,theislab/ehrapy,HAI engineering,Framework,307,36,Electronic Health Record Analysis with Python.,https://github.com/theislab/ehrapy,Apache License 2.0,Python,"Zethson, dependabot[bot], Imipenem",19,2021-06-11,2025-09-30,2025-09-30,0,"ehr, electronic-health-record, electronic-medical-record, scverse",36,4
52,ZhiGroup/Med-BERT,Model repo,,306,72,"Med-BERT, contextualized embedding model for structured EHR data",https://github.com/ZhiGroup/Med-BERT,Apache License 2.0,HTML,"lrasmy, ZhiGroup, o0windseed0o",3,2020-05-07,2025-10-02,2023-04-03,0,,2,16
53,hapifhir/hapi-hl7v2,Interoperability,HL7v2,302,143,,https://github.com/hapifhir/hapi-hl7v2,Unknown,Java,"jamesagnew, ohr, fil512",16,2016-12-19,2025-10-01,2025-02-04,8798,,79,34
54,awslabs/fhir-works-on-aws-deployment,Archived / Deprecated,FHIR,301,154,A serverless implementation of the FHIR standard that enables users to focus more on their business ...,https://github.com/awslabs/fhir-works-on-aws-deployment,Apache License 2.0,TypeScript,"nguyen102, rsmayda, dependabot[bot]",29,2020-05-12,2025-08-13,2023-04-13,0,"aws, fhir, fhir-works, healthcare, hl7",0,21
55,nHapiNET/nHapi,Infrastructure,FHIR,301,162,nHapi is the .Net port of the original Java project HAPI.,https://github.com/nHapiNET/nHapi,Mozilla Public License 2.0,C#,"dependabot[bot], duaneedwards, milkshakeuk",19,2015-01-28,2025-10-01,2025-09-22,1017,"dotnet, dotnet-core, er7, hapi, hl7",25,38
56,microsoft/hi-ml,Model Development,Modelling & Training,297,60,HI-ML toolbox for deep learning for medical imaging and Azure integration,https://github.com/microsoft/hi-ml,MIT License,Python,"ant0nsc, kenza-bouzid, fepegar",19,2021-07-01,2025-09-04,2025-04-10,0,"ai, azure, azureml, deep-learning, health",115,8
57,cqframework/clinical_quality_language,Specification / Docs,,294,135,Clinical Quality Language (CQL) is an HL7 specification for the expression of clinical knowledge tha...,https://github.com/cqframework/clinical_quality_language,Apache License 2.0,Kotlin,"brynrhodes, cmoesel, JPercival",40,2014-08-26,2025-10-03,2025-10-03,0,"cds, clinical-data, clinical-decision-support, clinical-quality-language, clinical-quality-measurement",200,50
58,remotebiosensing/rppg,Model Development,Eval,292,37,Benchmark Framework for fair evaluation of rPPG,https://github.com/remotebiosensing/rppg,Apache License 2.0,Python,"paperchae, SpicyYeol, najy97",13,2021-03-22,2025-10-01,2023-11-21,0,"blood-pressure, bp, cnibp, deep-learning, deepphys",,
59,jamesmullenbach/caml-mimic,Archived / Deprecated,EHR,288,127,multilabel classification of EHR notes,https://github.com/jamesmullenbach/caml-mimic,MIT License,Python,jamesmullenbach,1,2017-01-24,2025-08-28,2019-12-26,0,"clinical-notes, ehr-notes, icd9, multilabel-classification, nlp",18,13
60,medtorch/awesome-healthcare-ai,Lists,,288,67,"A curated list of awesome open source healthcare tools, algorithms, datasets and research papers.",https://github.com/medtorch/awesome-healthcare-ai,Creative Commons Zero v1.0 Universal,,"bcebere, FMCalisto, Rhuax",3,2020-10-10,2025-09-28,2025-01-20,0,"awesome-list, awesome-lists, healthcare, healthcare-application, healthcare-datasets",2,15
61,onejune2018/Awesome-Medical-Healthcare-Dataset-For-LLM,Lists,,284,24,"A curated list of popular Datasets, Models and Papers for LLMs in Medical/Healthcare",https://github.com/onejune2018/Awesome-Medical-Healthcare-Dataset-For-LLM,MIT License,,onejune2018,1,2023-08-16,2025-09-30,2024-04-30,0,,2,4
62,microsoft/Tools-for-Health-Data-Anonymization,Model Development,Privacy,282,85,Set of tools for helping with data (in FHIR format) anonymization.,https://github.com/microsoft/Tools-for-Health-Data-Anonymization,MIT License,C#,"sowu880, chrisribe, feordin",23,2020-01-10,2025-09-22,2025-09-05,396,,16,45
63,b2ihealthcare/snow-owl,Infrastructure,FHIR,282,35,":owl: Snow Owl Terminology Server - a production-ready, scalable, FHIR Terminology Service compliant...",https://github.com/b2ihealthcare/snow-owl,Apache License 2.0,Java,"cmark, apeteri, nagyo",19,2015-01-09,2025-10-03,2025-10-03,0,"codesystem, conceptmap, elasticsearch, fhir, fhir-api",12,12
64,LibreHealthIO/lh-ehr,Infrastructure,EHR,274,277,LibreHealth EHR - Free Open Source Electronic Health Records,https://github.com/LibreHealthIO/lh-ehr,Other,PHP,"bradymiller, teryhill, sunsetsystems",100,2016-07-15,2025-10-01,2022-11-15,110,"openemr, php",217,37
65,FirelyTeam/spark,Infrastructure,FHIR,271,166,Firely and Incendi's open source FHIR server,https://github.com/FirelyTeam/spark,"BSD 3-Clause ""New"" or ""Revised"" License",C#,"kennethmyhra, mharthoorn, dependabot[bot]",21,2014-02-27,2025-09-22,2025-09-22,0,"c-sharp, docker, dstu2, ehealth, fhir",49,43
66,NYUMedML/DeepEHR,Model repo,,270,70,Chronic Disease Prediction Using Medical Notes,https://github.com/NYUMedML/DeepEHR,MIT License,Python,"jingsliu, narges-rzv",2,2018-06-12,2025-06-27,2019-09-26,0,"clinical-data, deep-learning, embeddings, medical, nlp-machine-learning",1,23
67,NYUMedML/GNN_for_EHR,Model repo,,269,63,"Code for ""Graph Neural Network on Electronic Health Records for Predicting Alzheimer’s Disease""",https://github.com/NYUMedML/GNN_for_EHR,GNU General Public License v3.0,Python,jackzhu727,1,2019-12-06,2025-08-17,2024-09-13,0,"alzheimer-disease-prediction, deep-learning, disease-prediction, ehr, electronic-health-records",10,14
68,GanjinZero/ChineseEHRBert,Model repo,,265,44,A Chinese EHR Bert Pretrained Model.,https://github.com/GanjinZero/ChineseEHRBert,Unknown,Python,"GanjinZero, zp9763",2,2019-10-14,2025-09-24,2021-07-14,0,,5,10
69,BiomedSciAI/histocartography,HAI engineering,Framework,262,60,"A standardized Python API with necessary preprocessing, machine learning and explainability tools to facilitate graph-analytics in computational pathology.",https://github.com/BiomedSciAI/histocartography,GNU Affero General Public License v3.0,Python,"code-for-papers, afoncubierta, pushpak-pati",5,2019-11-27,2025-09-05,2023-11-01,0,"deep-learning, graph-neural-networks, healthcare, machine-learning, pathology",,
70,iamarunbrahma/finetuned-qlora-falcon7b-medical,Model repo,,261,27,Finetuning of Falcon-7B LLM using QLoRA on Mental Health Conversational Dataset,https://github.com/iamarunbrahma/finetuned-qlora-falcon7b-medical,MIT License,Jupyter Notebook,iamarunbrahma,1,2023-07-21,2025-08-29,2024-01-15,0,"chatbot, chatbots, conversational-ai, falcon, falcon-7b",1,4
71,crs4/hl7apy,Interoperability,HL7v2,261,94,"Python library to parse, create and handle HL7 v2 messages.",https://github.com/crs4/hl7apy,MIT License,Python,"svituz, ghira, sloria",15,2013-08-09,2025-09-18,2025-01-08,0,,35,31
72,healthylaife/MIMIC-IV-Data-Pipeline,Model Development,Dataset Processing,261,94,A customizable pipeline for data extraction from MIMIC-IV.,https://github.com/healthylaife/MIMIC-IV-Data-Pipeline,MIT License,Jupyter Notebook,"mehak25, bgallamoza, VarshaDanduri",8,2021-08-06,2025-10-01,2025-10-01,0,"electronic-health-records, machine-learning, mimic, mimic-iv, reproducible-research",,
73,analysiscenter/cardio,HAI engineering,Framework,258,78,CardIO is a library for data science research of heart signals,https://github.com/analysiscenter/cardio,Apache License 2.0,Jupyter Notebook,"roman-kh, dpodvyaznikov, alexanderkuvaev",3,2017-11-05,2025-09-21,2019-08-09,0,"data-science, deep-learning, deep-neural-networks, healthcare, machine-learning",,
74,mingze-yuan/Awesome-LLM-Healthcare,Lists,,253,26,"The paper list of the review on LLMs in medicine - ""Large Language Models Illuminate a Progressive Pathway to Artificial Healthcare Assistant: A Review"".",https://github.com/mingze-yuan/Awesome-LLM-Healthcare,MIT License,,"mingze-yuan, pengbao7598, starmpcc",3,2023-11-03,2025-10-02,2023-12-23,0,"agent, awesome, awesome-list, healthcare, large-language-models",0,14
75,epic-open-source/seismometer,Model Development,Eval,244,36,AI model evaluation with a focus on healthcare,https://github.com/epic-open-source/seismometer,"BSD 3-Clause ""New"" or ""Revised"" License",Jupyter Notebook,"diehlbw, MahmoodEtedadi, gbowlin",15,2024-05-06,2025-09-25,2025-09-25,0,"health-ai, healthcare",53,11
76,masslight/ottehr,Infrastructure,EHR,239,296,"Modular, Production-Ready, Open-Source EHR",https://github.com/masslight/ottehr,Other,TypeScript,"imbenham, VladMstv, szaccagni",24,2023-09-20,2025-09-30,2025-09-26,0,"ehr, electronic-health-record, fhir, health, healthcare",786,18
77,microsoft/fhir-server-samples,Archived / Deprecated,,229,135,Samples for Microsoft FHIR Server for Azure,https://github.com/microsoft/fhir-server-samples,MIT License,C#,"hansenms, dependabot[bot], JoeDRowan",15,2018-12-21,2025-09-17,2022-05-13,0,,11,36
78,edaaydinea/AI-Projects-for-Healthcare,Lists,,219,67,"This repository is included artificial intelligence, machine learning, data science, computer vision...",https://github.com/edaaydinea/AI-Projects-for-Healthcare,Apache License 2.0,Jupyter Notebook,"edaaydinea, ansh-srivastava",2,2020-12-15,2025-09-28,2025-05-26,0,"artificial-intelligence, deep-learning, healthcare, medical-image-analysis, medical-imaging",0,8
79,robi56/Survival-Analysis-using-Deep-Learning,Lists,,219,65,"This repository contains morden baysian statistics and deep learning based research articles , software for survival analysis",https://github.com/robi56/Survival-Analysis-using-Deep-Learning,Unknown,,"robi56, havakv",2,2018-02-06,2025-09-09,2021-02-18,0,"bayesian-inference, cancer-research, deep-learning, gaussian-processes, healthcare",,
80,owkin/FLamby,Model Development,Eval,218,24,Cross-silo Federated Learning playground in Python. Discover 7 real-world federated datasets to test your new FL strategies and try to beat the leaderboard.,https://github.com/owkin/FLamby,MIT License,Python,"AyedSamy, regloeb, sssilvar",21,2022-02-24,2025-08-14,2024-06-19,0,"dataset, deep-learning, differential-privacy, federated-learning, healthcare",,
81,StanfordSpezi/Spezi,Infrastructure,EHR,212,23,"Open-source framework for rapid development of modern, interoperable digital health applications.",https://github.com/StanfordSpezi/Spezi,MIT License,Swift,"PSchmiedmayer, bauer-andreas, lukaskollmer",6,2022-10-10,2025-09-29,2025-09-09,0,"digital-health, digitalhealth, fhir, spezi, stanford",11,22
82,FirelyTeam/fhirstarters,Tutorials,,211,268,A collection of example projects to get you up to speed with HL7 FHIR,https://github.com/FirelyTeam/fhirstarters,"BSD 3-Clause ""New"" or ""Revised"" License",Java,"jamesagnew, mbaltus, ryanbaldwin",5,2015-10-27,2025-09-01,2024-04-10,0,,18,33
83,beda-software/fhir-py,Interoperability,Client SDKs,198,37,FHIR Client for python,https://github.com/beda-software/fhir-py,MIT License,Python,"ruscoder, mkizesov, ir4y",15,2018-06-27,2025-09-26,2025-09-23,0,"client, fhir, rest",35,7
84,ppazos/cabolabs-ehrserver,Infrastructure,EHR,197,111,"Open platform to manage and share standardized clinical data, designed by @ppazos at CaboLabs Health...",https://github.com/ppazos/cabolabs-ehrserver,Apache License 2.0,Groovy,"ppazos, casiodbx, echosalik",9,2013-03-11,2025-09-25,2023-03-13,0,"cabolabs, cdr, clinical-data, ehr, ehrserver",166,39
85,senaranya/HL7,Interoperability,HL7v2,195,86,"PHP library for Parsing, Generation and Sending HL7 v2 messages",https://github.com/senaranya/HL7,MIT License,PHP,"senaranya, jay-knight, skeemer",23,2017-11-16,2025-09-11,2025-09-08,0,"hl7, hl7-builder, hl7-message, hl7-parser, hl7-sending",19,12
86,HealthIntersections/fhirserver,Infrastructure,FHIR,195,58,Reference Implementation Server for the FHIR Specification,https://github.com/HealthIntersections/fhirserver,Other,Pascal,"grahamegrieve, costateixeira, jmandel",8,2013-12-03,2025-09-25,2025-09-23,284,,64,35
